year,month,day,dust,temp,wind,rain
2018,6,13,29,17,12.3,0
2018,6,14,27,18.5,20.7,0.2
2018,6,15,25,19.3,12,0
2018,6,16,20,17.7,18.9,0
2018,6,17,19,16.4,20.4,0.2
2018,6,18,21,19.9,23.4,0
2018,6,19,18,21.4,19.8,0
2018,6,20,20,20.1,19.5,0
2018,6,21,29,16.3,18.8,0
2018,6,22,23,16.7,13.5,0
2018,6,23,25,18.6,13.6,0
2018,6,24,24,19.6,11.5,0
2018,6,25,30,22.8,9.1,0
2018,6,26,28,20.8,16.2,0
2018,6,27,28,18.1,19.5,0
2018,6,28,26,19.1,15.5,0
2018,6,29,25,19.7,15.8,0
2018,6,30,24,20.1,18.6,0
2018,7,1,26,22.8,15.5,0
2018,7,2,22,22.6,20.3,0
2018,7,3,21,20.1,23.8,0
2018,7,4,28,19.7,13,1.5
2018,7,5,35,23.4,10.2,0
2018,7,6,32,23.8,10.3,0
2018,7,7,36,24.8,12.1,0
2018,7,8,26,23.7,10.9,0
2018,7,9,27,22.8,12.3,0
2018,7,10,19,17.9,13.1,0
2018,7,11,28,18.1,10.7,0
2018,7,12,27,18.9,11.4,0
2018,7,13,29,20.2,14.8,16.9
2018,7,14,30,22.1,10.3,0
2018,7,15,25,24.7,9.7,0
2018,7,16,28,24.9,12.7,0
2018,7,17,21,20.6,19.6,0
2018,7,18,23,21.2,9.3,0
2018,7,19,25,22,12.6,0
2018,7,20,26,21.2,11,0
2018,7,21,29,23,8.7,0
2018,7,22,24,24,11.8,0
2018,7,23,24,26,12.5,0
2018,7,24,25,24.7,14.8,0
2018,7,25,29,24.6,11.3,0
2018,7,26,45,27.1,14.2,0
2018,7,27,32,25.6,11.1,7.3
2018,7,28,25,20.1,26.1,0
2018,7,29,16,19,21.4,4.8
2018,7,30,18,20.8,17.6,0
2018,7,31,21,20.2,15.7,5.9
2018,8,1,24,20.6,13,0
2018,8,2,25,23,11.4,0
2018,8,3,23,26.3,8.2,0
2018,8,4,21,23.4,13.4,0
2018,8,5,18,22.3,11.8,0
2018,8,6,27,24.9,9,0
2018,8,7,29,25.2,11.5,0.4
2018,8,8,19,20.5,20.4,0
2018,8,9,19,16.5,10.4,14.7
2018,8,10,19,16.1,17,7.5
2018,8,11,19,16.7,12.9,0.9
2018,8,12,16,19.6,14.2,0.9
2018,8,13,19,19.8,15.8,0.4
2018,8,14,19,20.4,18.4,0
2018,8,15,22,20.3,19.2,0
2018,8,16,23,18.1,16.7,15.2
2018,8,17,22,18,15.8,0
2018,8,18,21,19.3,18.1,0
2018,8,19,18,21.4,20,0
2018,8,20,19,22.4,12.8,0
2018,8,21,24,22.3,10.9,0
2018,8,22,21,19.6,14.7,0
2018,8,23,18,19.6,17.8,0.7
2018,8,24,17,15.5,23.7,5.3
2018,8,25,17,14.5,16.5,1.5
2018,8,26,18,15.5,15.2,13.6
2018,8,27,15,17.6,20.9,0
2018,8,28,22,18.3,9.2,0
2018,8,29,24,16.8,10,9.9
2018,8,30,23,16.4,7.5,0
2018,8,31,24,16.6,9.8,0
2018,9,1,27,18.4,9.4,0
2018,9,2,27,17.8,11,0
2018,9,3,33,18.3,7,0
2018,9,4,28,16.9,10.7,0
2018,9,5,25,17.1,10.2,0
2018,9,6,27,16.8,12.7,0
2018,9,7,19,15.2,20.1,0
2018,9,8,24,15.7,15.9,0
2018,9,9,19,18.9,16.3,0
2018,9,10,21,18,19.4,0
2018,9,11,19,19.9,23.8,1.3
2018,9,12,23,14.4,8.7,3.1
2018,9,13,25,15.1,10.7,0
2018,9,14,20,15.2,17.9,0
2018,9,15,22,16.6,14.3,0
2018,9,16,19,18.7,15.8,0
2018,9,17,20,20.9,15.6,0
2018,9,18,21,20,24.3,0
2018,9,19,27,20.1,26,0
2018,9,20,25,19.9,26.4,0.9
2018,9,21,22,15,34.7,2.4
2018,9,22,18,12.2,15.7,8.8
2018,9,23,14,11.3,13.2,12.1
2018,9,24,23,11.4,9.3,0
2018,9,25,33,12.2,8.7,0
2018,9,26,29,15.5,11.6,0
2018,9,27,34,17.1,11.4,0
2018,9,28,19,14.1,13,0
2018,9,29,35,12.6,4.5,0
2018,9,30,21,12.2,13,0
2018,10,1,18,11.8,15.9,11.2
2018,10,2,18,16.1,22.3,0
2018,10,3,23,16,12.3,0
2018,10,4,28,13.9,11.3,0
2018,10,5,37,15.4,6.4,0
2018,10,6,22,11.4,12.4,8.8
2018,10,7,18,10.6,9.2,0
2018,10,8,22,12.8,12,0
2018,10,9,26,15.5,9.9,0
2018,10,10,48,15.8,14.9,0
2018,10,11,26,18.2,17.5,0.2
